Protein,0mo_NPX,3mo_NPX,6mo_NPX,12mo_NPX,18mo_NPX,24mo_NPX,30mo_NPX,36mo_NPX,48mo_NPX,54mo_NPX,60mo_NPX
O00391,11808.9,12481.25,12091.2,11270,11738.7,11779.9,13202.8,11500.4,11421.75,12283.6,11368
O00533,536920,510061,485521,467822,511229.5,498113,410685,487316.5,466472,985396,455366.5
O00584,26289,26801.2,26506.55,25593.5,25115.1,26584.65,18847,26141.9,28194.8,37066.85,28071.2
O14498,26773.5,23465.8,25863.8,26840,24525.7,26283.7,25230,27471.3,27325.85,37525.05,25736.6
O14773,17466.3,18447.3,17240.9,17714.4,17852,17772.6,19581.8,17497.3,17099.8,12164.175,16805.6
O14791,2784.4,3611.16,2714.055,3002.71,2958.05,2858.94,2712.69,2959.39,2785.61,3531.475,3089.24
O15240,123209.5,128747,120151,120477.5,120118.5,121944,82990.3,101701,108521.5,137546.75,114866
O15394,53264.4,51289,51916.7,46353.7,36110.55,52548,49432.7,48890.9,49223.5,49879.9,50823.1
O43505,192036.5,169231,178947,185235,180416.5,186689,95687.9,187435.5,188945,212993.5,175103.5
O60888,140994.5,165616,137081,131745,145456,138910,126291,133995,139122,206317.4,131673
O75144,79617.1,84186.1,77275.65,72724.3,77356.7,78403.75,22648,80598.75,79896.2,122564.6,72014.15
O94919,33955.4,32937.2,32818.95,34406.8,46325.6,35203.4,46210.6,36114,34957.7,80046.7,34710
P00441,45866.3,51125.9,44767.5,38609.1,50728.15,44165.5,28410.7,45107.1,43422.8,93311.3,41392.5
P00450,992108.5,1011040,989930.5,980373.5,1067525,970796,1461230,988484,986226.5,872108.5,1009075
P00734,685491.5,716944,679973.5,689560,644119.5,684314,906736,685387.5,680075,818397.5,680568
P00736,72096.5,87487.5,73649,75061.2,76071.15,75581.2,94371.7,78801.95,78993.45,112863.15,76027.2
P00738,2910135,2449700,2603895,2701800,2865725,2974600,15353500,2826025,2963680,2502630,2599980
P00746,102333,105603,102556.5,100522,137704,103922,140795,105331,108393,92469.95,107758.5
P00747,346552,341132,343910,338466,311199.5,349565,510768,352316,335901,339061.5,337919.5
P00748,78256.1,69607.5,74201.55,76255.3,86844.25,78137.1,88567.6,77814.35,80492.55,92611.45,74339.15
P00751,490134.5,489461,480081,474160,531729.5,491419,678610,492595,491773.5,430994,499397
P01008,2516085,1995850,2463580,2472640,2680695,2561370,2745260,2511330,2510545,2877430,2539030
P01009,11924200,11053000,11564450,11934600,13321700,12246800,12828400,12318400,12230100,20812050,12327150
P01011,1384825,1118780,1424920,1397970,1481040,1450490,1430670,1498910,1440300,1343625,1428365
P01019,1535000,1635270,1579290,1447040,1482090,1500430,1067240,1574410,1532435,1295025,1491315
P01023,1350310,1525310,1351410,1328570,1493910,1364230,1620320,1389930,1374590,1040095,1350035
P01024,3431010,3060540,3498105,3472095,3559845,3545150,4059900,3625530,3490805,2904535,3634360
P01031,10575.6,9942.835,10463.9,10533.4,11531.75,10803.6,16505.9,10881.4,10686.2,9318.82,10891.8
P01033,79746.3,72631.2,78228.9,79167.4,82019.7,80430.5,111448,84207.3,81403.1,84309.85,77097.85
P01034,20889800,23802200,19779550,19507900,26168000,21178500,21559800,20703300,21178000,25119150,19613800
P01042,1011350,1173960,990009.5,996112.5,1001597,995973,1252830,995013,992167,1218521,1060980
P01344,99641.3,87799.2,96832.7,95988.4,91888.45,95906.2,89021.3,98310.1,98551.75,145269.6,91918.75
P01591,11030,15624,11638.1,9527.43,11987.4,10697,15260.8,10528.85,12198.95,15511.25,10307.3
P01621,173976,156819,156060,162062.5,160314.5,163529,222128,159158,160938.5,198300.5,159470
P01717,120075.5,83141.9,115938,109829,86115.2,112833,159728,111602,110076.5,171172,108850.5
P01780,11559,13165.1,11537.8,11174.4,9314.35,10810.35,14399.8,12529.75,11102.15,4650.41,11334.5
P01833,3768555,4428420,3521135,3747530,3738105,3643085,3584930,3640260,3748000,4025420,3836370
P01834,2574760,4130140,2616220,2574215,2089745,2513270,3315850,2598090,2556930,3612715,2591740
P01857,5045940,4721250,5076840,5122650,4609060,5035170,5794420,5031370,5050080,6121025,5097145
P01859,2089100,3199440,2089030,2055025,1473180,1989270,4608880,2004550,2035615,2750490,2048595
P01860,479016.5,323966,504291,461594,534766.5,466349,973218,490565,465343,684014,465523
P01861,60239.05,130523,69013.75,68509.7,102241.9,65653.75,29328.7,57528,65452.35,187628,63276.55
P01876,2492695,3603610,2358530,2358345,1629895,2375230,3545890,2417620,2391360,2814765,2144270
P01877,76156.5,135289,75067.85,68389.1,85559.7,76053.4,33915.8,64451.1,73787.35,104805.85,68839.75
P02452,44003.9,51212.9,43111.7,40214.95,40520.25,41426.8,46223.1,45455.1,43613.3,77130.4,42878.95
P02647,10751200,10266600,10967300,11149100,13847200,10734500,19302700,10841900,11362800,15000700,10570400
P02649,10014975,14717800,10687650,9438755,13428400,10194800,8797390,9834180,10760600,10978225,10755500
P02652,587370,717936,559565.5,603673,640048,583054,517816,543049.5,542011.5,846077.5,553492
P02656,98386.8,103882,98020.65,97135.35,85680.6,96949,134086,90514.25,94999.5,118639,96504.3
P02671,550278.5,546010,567090,558855.5,531040.5,555215,1057290,562696.5,610479,882522,615538
P02675,524886.5,550145,545019.5,526616.5,564598,546978,1067480,534565,561612,771652.5,577623
P02679,168843.5,163453,172241.5,170396,168979,172780,321442,175566,185258,215257,187430.5
P02747,133561.5,126087,128943,128311.5,167567,127423,142014,129748,133421,141283.5,128598
P02748,104103,112243,105428,104766,108410.5,108915,215860,108939,111837,100359,115340.5
P02749,1115755,1287500,1101660,1132755,1242085,1141580,1305250,1154320,1141075,1612015,1145485
P02750,211508,140038,208511,209724.5,241969,216174,322071,216748,223957,251784,225282
P02751,1565390,1940040,1536265,1511605,1454590,1520450,2348180,1557810,1544510,1439205,1579680
P02753,438858,478746,441942,440857.5,445983.5,443966,360257,429814,432615,380594,441008
P02760,353264.5,288018,336397,338647,388855,350553,470904,343191,357853,393633,349067
P02763,4517055,4955880,4625490,4835430,6278115,4861940,5998830,4699020,4848585,6659590,4596280
P02765,2420210,2735290,2353960,2413455,2783345,2315900,3627950,2346580,2347920,2869005,2326095
P02766,18148350,20785900,17438300,18410900,20111850,19003800,28644700,19389300,17955250,42560400,17566400
P02768,308514000,316853000,302075000,306286000,288792500,306550000,307572000,310372000,301038500,291326000,299694000
P02774,2998950,2168550,3042880,2933960,2590335,2958140,3483590,2958460,2941815,4062595,2927680
P02787,31017800,32813100,33001750,31171550,32345300,31934200,36350100,31515700,31052200,29791750,32600800
P02790,4768010,4020360,4837345,4651620,4898645,4892740,6971320,5014910,4877575,4452135,5062925
P04004,1112645,1042350,1097040,1107510,987213,1111005,1622430,1109755,1066335,1213655,1076620
P04075,21055.85,19832.1,22082.3,20252.6,24086.95,21533.4,21871,20960.05,21214.45,19723.45,21212.55
P04156,341014.5,241696,328985.5,318396.5,378149,343891,467504,321153,335653.5,649536.5,332719.5
P04180,68979.8,71436.8,67525.15,65647.3,67726.75,66052.5,62736.7,66070.35,65299.55,56757.8,66061.1
P04196,200249,157508,203348,200324.5,226918.5,201317,336942,204577,203649,176179,207483.5
P04207,78265.3,74469.8,77483.6,76009.25,70346,75756,114657,79297.1,79547.5,87972.25,77693.25
P04211,27193.85,33804.4,27389.2,26352.85,33062.7,25335,28954.7,26972.8,24356.1,24458.25,25684.75
P04216,137812,90790.6,138425,131064,149511,133425,73110.5,130625,137419,142803.9,128743.5
P04217,1428090,1230750,1393495,1395400,1411635,1406670,1779220,1414200,1427125,1461250,1421585
P04275,429540,403893,431058,424754.5,396652,419874,360163,450570,421253,544101,391737
P04406,13366.25,13560.7,13933.8,13760.5,13011.4,14509.15,20849.3,13309.6,14332.55,15618.3,14168.4
P04433,565566,464109,567786,556172,491174,563293,898110,562291.5,558745.5,725652,561341.5
P05060,251366,252439,245820,235735,230508,227742,276771,241479,236637.5,302228,215837.5
P05067,895250,688577,794791,785210.5,864852.5,858975,740685,812645,852030,844175,786548
P05090,5322440,5747990,5187215,5333345,5722110,5485710,4793170,5812510,5355360,7422040,5182420
P05155,855893,879834,898214.5,848371,1053624.5,874993,561431,899232.5,901544,1041537.5,875623.5
P05156,85358.75,91091.1,84930.85,83778.4,83439.35,84959.7,93331.9,87066.25,88907.2,103787.05,84185.35
P05408,5529.63,4160.9,5335.93,5567.39,5332.18,5719.93,3698.7,4935.655,5700.21,6278.11,5227.99
P05452,315943,275412,307480.5,297456,308909,313796,283218,316674.5,308506,394892,308320
P05546,88741.5,63687.05,87604.1,87161.2,86408,87869.4,104274,85821.5,83600.3,56554.9,85802.4
P06310,13241.9,17295.4,12995.2,12473.95,14015.9,12613.8,18729.1,13811.7,12445.7,9153.46,13475.65
P06396,1941475,2010260,1993315,1924080,2221410,2036900,2062950,2006180,2006730,1605845,2019565
P06454,23033.1,16141,23388.1,23979.5,23043.6,23622.5,22730,23088.9,22952.5,26255.4,22999.05
P06681,76144.3,79524.4,77633.8,76464,82505.55,76890.1,91033.1,80173.6,78917.15,91038.45,79873.55
P06727,506348,590276,487546.5,519472.5,625447.5,523953.5,526590,508037,527749,769247,556920.5
P07195,7252.255,8639.45,6765.54,6624.525,6713.16,7468.56,5929.83,6813.7,7184.97,6826.05,6994.785
P07225,120520,133056,120817.5,117361,121744,120627,117074,121620.5,118553,126435.3,119658
P07333,32915.2,39480.8,31990.3,32381.15,27392.5,31466.1,23395.6,31965.7,33747.55,47892.45,38759.85
P07339,285045,227030,277344.5,290245,263927.5,300345,253295,293697.5,281333,285368.5,307059
P07602,1098765,903785,1068695,1047275,963651,1110180,1193960,1081210,1083060,1561611.5,1037635
P07711,37281.4,36931.4,35808.35,35289.75,34689.7,35270.5,42866.7,37272,37172.6,35857.85,34822.6
P07858,34572.55,36443.6,33178.1,32183.1,33042.25,34078.1,55433.1,33163.7,33849,35313.8,32667.85
P07998,773572.5,710498,763646,715339.5,858670,761659,654597,749518,727260,1913135.5,720235
P08133,53351.6,43599.6,51358.6,49319.8,54304.5,49178.7,60125.9,51732.45,51867.8,71945.8,51252.6
P08253,18423.1,19902.3,17589.8,17823.7,15888.2,18430.5,20029.3,17483.65,18290.8,13931.05,18798.1
P08294,569660.5,423328,567557,585957,442535.5,567245,291506,559088.5,555836.5,986961,580787.5
P08493,55864.6,52590.9,56249.7,56957.1,71653.6,60605,84438.8,58940.3,58129,62187.1,58190.3
P08571,343943.5,345512,332464,339625.5,345612.5,351676,356791,355138.5,359454.5,479448,342153
P08603,1160360,1198340,1141135,1155375,1223210,1140020,1407800,1187240,1171145,1233750,1141410
P08637,29144.1,40942.2,28700.2,27018.4,29530.85,27581.2,19650.3,27261.95,27715,47934.85,28206.45
P08697,258505,193566,242895.5,250436.5,240052.5,249107,270995,251550,247646,352410.5,254462
P09104,6879.2,4884.91,6708.85,6428.58,6674.425,6719.955,5259.19,6897.23,7038.98,4299.99,6335.54
P09486,130379,159648,132080.5,126600,121893.5,131995,139908,127394.5,129895,188453.1,132885
P09871,257448,188838,260980.5,255915.5,297516,275664,332534,280317.5,269629.5,251017,262620.5
P10451,321211,328670,286764.5,309170,390910,340975,303459,313290,314173,517717.5,304217
P10643,96419.25,92620.4,96274.65,100434,121196,104177.5,136540,103717,103989,97629.4,100168.85
P10645,391947.5,410515,358031.5,352753.5,420923.5,355635,458699,353659,387853,482869,380872
P10909,7670795,8947980,7329525,7535725,7986560,7751270,6576270,7694060,7704280,9688785,7535815
P11142,67148.2,74728.8,66692.1,69201.7,71413.2,65976.2,79586.7,67714.45,65514.5,80090.2,67714.9
P11277,74916.4,61768.6,73327.1,73026.65,60198.25,71653.15,59607,78280.2,77160.5,64931.65,69658.2
P12109,72044.2,59814.9,74476,67830.9,67151.35,71464.2,78030.2,69947.2,68502.7,58967.25,71934.9
P13473,121005,105144,115028.5,114029,104070,118852,103738,119914,123950,222029.5,117256
P13521,51360.1,49291.2,46922.95,45898.8,47739.4,49290.5,57706.5,47085.1,48630.15,48207.55,43966.85
P13591,173722,205561,170656,160097,173777,179113,103376,178935,166711,169127.75,158351
P13611,22511.7,25353.5,24835.8,23387.4,9701.81,22111.55,22862.6,22759.3,23655.8,31391.95,22799.5
P13671,8401.42,7958.965,8739.935,8272.67,9733.04,8597.525,10919.3,8719.18,8770.955,8704.955,8769.815
P13987,393258.5,394933,384233,362233.5,385312,389020,382712,374646,379103,626902,371359.5
P14174,24641.8,24080.7,24410.2,24315,25743.5,25684.2,26807.6,24079.1,25093.7,32575.7,26250.75
P14314,31323.3,18550.8,30256.8,30073.2,36892.3,25045.5,15123.4,30837.95,29615.9,16323.9,30184.4
P14618,61005.4,56595.1,61742.1,57404.35,58917.45,58666.1,64713.9,60318.7,59885.3,70342.65,57295.5
P16035,59449.9,62834.6,60588.65,58594.3,62377.3,58309.8,67836.4,61639.7,58336.5,49214.85,60448.3
P16070,221350,293390,221999.5,221214,234969.5,221703.5,209854,225772.5,226313.5,325155.65,223463.5
P16152,117518,345332,189497.5,177077.5,38847.6,136174.5,225090,136706,162932.5,232734,116350
P16870,206360,214457,202782,191706,218570,203671,176216,201267,197403,251516.5,189173
P17174,23373.9,28620.8,24816.6,23655.3,21728,22634.4,16723.4,22628.55,23105.6,16204.285,23150.85
P18065,274590,243513,254083.5,249477.5,281994,252523,355001,270020.5,264245.5,510521,270935
P19021,11585.4,12290.93,10519.95,11478.8,10956,10824.7,18999.9,10875.7,10978.65,16651.4,11509.6
P19652,671981,951082,672870,660398,657051,635013,950302,674443,709473,736756,704042
P19823,107569.5,87980,110581.5,111349.5,139525,110489,202020,106376.5,111843.5,91815.15,109456
P19827,28582.8,18037.5,29013.25,27922.5,36094.1,26762.95,37920.8,27718.75,28083.5,34928.4,30310.2
P20774,363195.5,402708,364234.5,367973,290631,353401,282688,375517,353624.5,427581,372363.5
P20933,34390.2,30828.6,33226.3,32884.3,34979.2,33264.75,44332.6,34806.8,31025.6,38595.9,31536.8
P23142,1156125,1165770,1113940,1134040,953402.5,1152780,1069130,1128330,1155700,1511000,1149330
P24592,747295,716940,736487,753943,621438.5,799058,773259,807306,770780,1211386.5,786032
P25311,825814,750840,801160,832619.5,947431,820284,993641,820139,818764,1084215.5,821726
P27169,24118.2,20029.75,24668.3,29144.4,28495.9,30107.75,12704,25785.6,25504.7,39142.97,28916.1
P30086,44186.9,53708.3,40322.9,35523.5,54395.15,44431,8882.52,42620.8,40971.8,42240.3,42832.45
P31997,550414,459209,532086.5,531249,556877,544270,597312,519189.5,548114,601868,518285
P35542,55114.8,43729.2,53219.4,54980.8,44564.7,54693.3,48285.9,55945.55,54320.5,56841.5,54224.2
P36222,301649,397293,289992.5,281988.5,338714,307837,316787,310025,326685,279367,323232
P36955,2007040,2217140,2101725,2099195,2117975,2110060,1560790,2167970,2063925,2361800,2122635
P36980,5966.65,5546.3,5792.92,5925.63,5961.915,5805.45,2575.41,6101.43,6187.83,7078.325,5974.775
P39060,44785.7,47536.6,44852.55,42912.9,54714,45666.4,32404.5,44093.95,46056.7,44691.1,48645.45
P40925,27961.5,23567.3,28295.25,26080.15,28055.8,27127.3,33699.7,27651.55,28625.15,21656,28364.2
P41222,41230100,37665900,40177700,38571000,38733450,41125800,29115400,39676300,39760850,64172050,41570200
P43121,43256.8,53019.8,41928.1,40652.5,43908.1,42037.4,52870.9,43955.85,42584.1,47984.4,41613.9
P43251,42804.4,38446.1,41880.1,41094.25,41205.4,42602.9,40179.5,42442.3,42468.6,36436.05,45378.1
P43652,353430.5,397044,341842.5,347628,327152,353113.5,383891,345491.5,338193,479276.5,359431.5
P49588,9500.48,11284.96,8896.22,9261.81,9818.775,9213.935,6614.26,10330.8,8959.79,10762.7,8757.16
P49908,20338.8,18568.5,19629.45,19599.7,22025.9,20754.1,22547.5,20650.2,20295.2,27510.5,20084.2
P51884,256988.5,295650,253399.5,245053,275094.5,256139,307195,262657,257304.5,386439,248999
P54289,38310.4,43034.5,36485.3,37376.1,29761.2,40763.3,40839.4,32716.35,37715.2,42814.4,38697.6
P55290,35046.25,30949.1,30632.2,30913.5,29035.65,32853.65,33357.1,32317.2,32853.85,46419.15,32783.1
P61278,5680.22,4808.2,5662.24,6066.37,5551.7,5761.675,1692.04,4522.86,5435.89,7476.7545,5301.32
P61626,13761.2,11427.3,12957.25,12909.35,14197,13387.55,15384,15224,13818.15,15118.5,14460.1
P61769,324198,308949,306157,288505,305306,321534,121678,317698,305863.5,524778.5,299241.5
P61916,242510,268565,236239.5,228691,228267,233738,231110,237049,230566.5,348713,223031
P80748,33764.7,24240.2,32855.25,32020.85,31004.25,33168.7,32649.5,33476.8,32943.05,47313.65,33191.3
P98160,8869.655,2739.39,8806,8936.33,3108.39,8196.74,11133.2,7596.31,8707.435,11831.54,8527.315
Q06481,24251.4,23379.4,23040.7,21982.8,17307.55,20888.25,24247.1,22824.75,23883,25134.735,22472.6
Q08380,205834.5,202490,198349.5,197255.5,203338.5,197996,224782,198328,202356.5,251922.5,196256
Q12805,950365.5,1190670,934766,891597,1005573.5,958534,1018860,987117,986194.5,1428024,952499.5
Q12841,23804.9,25893.7,22963.25,23313.7,20857.55,23095,28667.4,23874.1,23384.6,33166.6,23960.05
Q12907,37646.1,43080.3,36017.2,34690.75,34328.4,37530.9,40750.3,35346.2,36231.3,32468.85,37410.55
Q13283,568708,483177,553539,573351,598908,571150,757761,566930,556876,571991.5,511607
Q13332,18955.95,15201.9,17744,17275.9,20006.7,17845.5,20730.2,17662.7,18225.7,37328,18596.6
Q13451,2911840,3216180,2890490,2947370,3327225,2939880,3346840,2924750,2874050,2994225,2862100
Q13740,19918.1,25393.9,20947.3,20647.4,21085.3,21592.9,26598.7,19616,21118.8,16406.175,21829.2
Q14118,151304,162442,145781,150080.5,146885,152185,171256,156021,152384,207944,155287
Q14508,5929.545,3544.05,5500.645,5464.92,4483.16,5507.83,5040,5459.37,5637.15,9631.285,5087.89
Q14515,380965,487661,367943,372642.5,318533,380746,373087,372849.5,384692.5,343504,378736
Q14624,135361,98084.3,135846.5,132290,138062.5,139039,188785,135497.5,135108,174422.5,131656.5
Q15904,37836.1,35206.9,35971.7,36931.95,44408.3,36138.7,25449.8,32333.05,36094.25,34602.4,35129.4
Q16270,857656,934450,831877,847274,665342.5,847839,813920,867508,833339.5,1546242.5,831900.5
Q16610,170167,197891,170819.5,162839,179993.5,172222,75504.6,172214,166396.5,214299.5,173011.5
Q562R1,17810.5,13882.2,17381.6,16627,18630.5,17466,25001.5,18652.9,17556.6,10895.7,16811.9
Q6UXB8,41882.4,52378.9,41642.75,43184.9,38910.6,39687.1,31428.3,42435.95,44007.7,58309.7,43198.8
Q7Z3B1,76700,52823.2,71332.7,67827.5,76598.55,74495.9,55079.5,73376.9,77256.6,122020.95,69385.05
Q7Z5P9,466980,492965,489311,499152.5,425227.5,477898,499992,495386,493433,543470,475947.5
Q8IWV7,89109.5,121948,87617.8,90846.95,105152,91707.7,171027,105354.5,110399,106224.5,93917.4
Q8NBJ4,23485.95,26659.8,21944.7,23641.4,22066.85,23455.35,20234.9,22826.3,23660.2,33526.3,22822.3
Q8NE71,18247.85,22113.6,18285.1,15450.2,17759.7,17533.7,7871.69,16714.1,16989.1,27296.5,16896.35
Q92520,635670.5,595890,624752,584208.5,663380,627817,646598,608257,620267,988903.5,595395
Q92823,153217.5,149340,150039,144535.5,143627,146802,138695,149475,144941.5,135478.75,141639
Q92876,1065415,1047020,1024805,1021090,1118660,1035300,794166,1052530,1044655,1441469.5,1062620
Q96KN2,620023.5,584208,622558.5,607910.5,661685,639514,405783,583586.5,615352.5,402454,599299
Q96PD5,98529.75,95513.6,99275.15,98366.2,106179,96881.9,102378,100945,97095.4,104818.2,97200.4
Q99435,2237.66,1708.4355,2147.47,2000.325,1567.42,2161.43,1615.93,1977.4,1954.26,1894.4945,2022.92
Q99674,21647.1,23110.4,21394.8,21326.4,22029.3,21559.3,19381.4,21086.3,21267.35,30452.05,21337.7
Q99832,42614.05,38169.5,39651,39705.9,41819.6,40643.35,40259.8,40100.7,41758.4,45111.9,38603
Q99969,12326.75,14385.8,12391.35,12300.6,15504.7,12700.3,7563.22,12344,12097.2,25255.1,12007.2
Q9BY67,27540.2,29274.9,25734,25351.9,26578.7,26728.35,32583.6,25703.85,27290.9,40593.05,25760.7
Q9HDC9,265258.5,305415,262330,262292.5,269702,257143.5,446566,284221.5,279546.5,361463,275628
Q9NQ79,33849.1,14940.7,33180.65,32992.65,33533.9,34619.6,34620.7,33737.2,34690.45,9224.51,35553.45
Q9NYU2,109129.5,106215,112183.5,108455,143549,110841,148973,108308,110736,135397,116151
Q9UBR2,15011.8,15364.2,15477.2,14611.55,18697.25,15408.8,17857,14854,15188.5,16163.15,13942.9
Q9UBX5,35181.9,37001.2,34396.1,34461.55,37775,34939,38473.9,36572.5,35102.25,32108.6,35341.55
Q9UHG2,223533,197082,214486,204259.5,257908.5,218226,176611,212117,221822,378324,204471.5
Q9UNU6,20125.1,35530.2,19567.05,19151.55,25337.9,19447.1,13369.9,18864.5,17969.95,12189.8,17722.5
Q9Y646,19501,17944,19516,19141.9,24662.3,19282.2,13182.8,19770.9,20107.35,19351.9,19946.55
Q9Y6R7,17662.3,28001.4,18224.3,19076.15,23655.6,19875.9,15390.7,19811.3,21245.65,35099.3,18154.4
P01594,12505.05,19374.9,11798.3,12990.5,13228.3,12262.75,15120.7,12976.85,12637.25,9124.3,13106.7
P02792,16164.8,17666.2,15823.05,15886.7,21956.15,15867.2,17470.8,16080.2,15589.4,17138.2,16732
P32754,65700.5,74421.5,68307,71535.45,87571.4,65819.2,64826.6,68240.2,68464.4,101742,65328
Q13449,28445.1,20062.95,27203.6,23890.2,31850.4,25838.05,18405.2,25113.85,25085.6,43731.05,23985.4
Q99683,99488.5,109375.2,99451.25,98918.45,112491.5,103043,111800,99494.15,105991,92596.9,100258
Q99829,14624.9,12973.4,14113.7,13809.1,19092.7,16332.8,12727.1,13833.25,14405.7,24383.6,14211.6
Q9UKV8,68121.4,103992,70462.95,66724.8,63570,65029,96401.4,67530,65102.6,80706.25,65115.95
